"filename", "language", "TypeScript JSX", "TypeScript", "Markdown", "PostCSS", "JSON", "JavaScript", "JSON with Comments", "XML", "Ignore", "comment", "blank", "total"
"/Users/caitlinirvin/Documents/GitHub/financial-operating-system/package-lock.json", "JSON", 0, 0, 0, 0, 7402, 0, 0, 0, 0, 0, 1, 7403
"/Users/caitlinirvin/Documents/GitHub/financial-operating-system/package.json", "JSON", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 1, 32
"/Users/caitlinirvin/Documents/GitHub/financial-operating-system/postcss.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"/Users/caitlinirvin/Documents/GitHub/financial-operating-system/public/file.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/caitlinirvin/Documents/GitHub/financial-operating-system/public/globe.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/caitlinirvin/Documents/GitHub/financial-operating-system/public/next.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/caitlinirvin/Documents/GitHub/financial-operating-system/public/vercel.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/caitlinirvin/Documents/GitHub/financial-operating-system/public/window.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/caitlinirvin/Documents/GitHub/financial-operating-system/src/app/(authenticated)/dashboard/page.tsx", "TypeScript JSX", 121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 144
"/Users/caitlinirvin/Documents/GitHub/financial-operating-system/src/app/(authenticated)/layout.tsx", "TypeScript JSX", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"/Users/caitlinirvin/Documents/GitHub/financial-operating-system/src/app/globals.css", "PostCSS", 0, 0, 0, 28, 0, 0, 0, 0, 0, 10, 11, 49
"/Users/caitlinirvin/Documents/GitHub/financial-operating-system/src/app/layout.tsx", "TypeScript JSX", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 34
"/Users/caitlinirvin/Documents/GitHub/financial-operating-system/src/app/page.tsx", "TypeScript JSX", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/caitlinirvin/Documents/GitHub/financial-operating-system/src/components/charts/budget-progress-ring.tsx", "TypeScript JSX", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 45
"/Users/caitlinirvin/Documents/GitHub/financial-operating-system/src/components/charts/financial-overview-chart.tsx", "TypeScript JSX", 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 96
"/Users/caitlinirvin/Documents/GitHub/financial-operating-system/src/components/charts/spending-by-category-chart.tsx", "TypeScript JSX", 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 97
"/Users/caitlinirvin/Documents/GitHub/financial-operating-system/src/components/navigation/app-header.tsx", "TypeScript JSX", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 52
"/Users/caitlinirvin/Documents/GitHub/financial-operating-system/src/components/navigation/app-sidebar.tsx", "TypeScript JSX", 167, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 183
"/Users/caitlinirvin/Documents/GitHub/financial-operating-system/src/components/ui/card-header.tsx", "TypeScript JSX", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"/Users/caitlinirvin/Documents/GitHub/financial-operating-system/src/components/ui/card.tsx", "TypeScript JSX", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"/Users/caitlinirvin/Documents/GitHub/financial-operating-system/src/components/ui/progress-bar.tsx", "TypeScript JSX", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"/Users/caitlinirvin/Documents/GitHub/financial-operating-system/src/components/ui/stat-card.tsx", "TypeScript JSX", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 57
"/Users/caitlinirvin/Documents/GitHub/financial-operating-system/src/features/dashboard/components/accounts-overview.tsx", "TypeScript JSX", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 53
"/Users/caitlinirvin/Documents/GitHub/financial-operating-system/src/features/dashboard/components/budget-progress-card.tsx", "TypeScript JSX", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 51
"/Users/caitlinirvin/Documents/GitHub/financial-operating-system/src/features/dashboard/components/confidence-score-card.tsx", "TypeScript JSX", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 45
"/Users/caitlinirvin/Documents/GitHub/financial-operating-system/src/features/dashboard/components/dashboard-footer.tsx", "TypeScript JSX", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"/Users/caitlinirvin/Documents/GitHub/financial-operating-system/src/features/dashboard/components/financial-brief-summary.tsx", "TypeScript JSX", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 34
"/Users/caitlinirvin/Documents/GitHub/financial-operating-system/src/features/dashboard/components/financial-overview-card.tsx", "TypeScript JSX", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 66
"/Users/caitlinirvin/Documents/GitHub/financial-operating-system/src/features/dashboard/components/mission-progress.tsx", "TypeScript JSX", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"/Users/caitlinirvin/Documents/GitHub/financial-operating-system/src/features/dashboard/components/mission-status.tsx", "TypeScript JSX", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 45
"/Users/caitlinirvin/Documents/GitHub/financial-operating-system/src/features/dashboard/components/recent-activity.tsx", "TypeScript JSX", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 58
"/Users/caitlinirvin/Documents/GitHub/financial-operating-system/src/features/dashboard/components/spending-by-category-card.tsx", "TypeScript JSX", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 37
"/Users/caitlinirvin/Documents/GitHub/financial-operating-system/src/features/dashboard/components/upcoming-objectives.tsx", "TypeScript JSX", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 64
"/Users/caitlinirvin/Documents/GitHub/financial-operating-system/src/features/dashboard/mock-data.ts", "TypeScript", 0, 219, 0, 0, 0, 0, 0, 0, 0, 0, 21, 240
"/Users/caitlinirvin/Documents/GitHub/financial-operating-system/src/features/dashboard/types.ts", "TypeScript", 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 13, 82
"/Users/caitlinirvin/Documents/GitHub/financial-operating-system/src/lib/session.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 2, 13
"/Users/caitlinirvin/Documents/GitHub/financial-operating-system/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 1, 35
"Total", "-", 1109, 302, 19918, 28, 7453, 20, 34, 5, 6, 16, 7356, 36247
